Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total valid votes polled +NOTA,% votes polled
4,Saharanpur  ,SULEMAN,M,55,GEN,BMUP,256,0,256,317413,237468,0.108245243128964
4,Saharanpur  ,SACHIN KUMAR,M,26,GEN,BHATARSP,219,1,220,317413,237468,0.0930232558139535
4,Saharanpur  ,BABLU,M,30,SC,ASP,155,0,155,317413,237468,0.06553911205074
4,Saharanpur  ,NAUSHAD,M,29,GEN,JANADIP,146,0,146,317413,237468,0.0617336152219873
5,Deoband,BRIJESH,M,44,GEN,BJP,101977,267,102244,327564,234306,43.7860801342995
5,Deoband,MAJID ALI,M,50,GEN,BSP,72654,190,72844,327564,234306,31.1955050790551
5,Deoband,MAVIA ALI,M,46,GEN,SP,55278,107,55385,327564,234306,23.7186734501602
5,Deoband,BHUPESHWAR TYAGI,M,62,GEN,RLD,1129,3,1132,327564,234306,0.48477996471213
5,Deoband,None of the Above,,,,NOTA,796,2,798,327564,234306,0.341744180070918
5,Deoband,DHARMAVIR,M,62,SC,BMUP,650,1,651,327564,234306,0.278791304794697
5,Deoband,RAKESH VERMA,M,37,GEN,BHATARSP,597,1,598,327564,234306,0.256094009627079
5,Deoband,UMAR NAWAZ,M,40,GEN,IND,415,0,415,327564,234306,0.177724103670966
5,Deoband,ZAHIR FATMA,F,42,GEN,IND,239,0,239,327564,234306,0.102351953680388
6,Rampur Maniharan ,DEVENDER KUMAR NIM,M,47,SC,BJP,76194,271,76465,297983,218831,35.0797109760294
6,Rampur Maniharan ,RAVINDRA KUMAR MOLHU,M,47,SC,BSP,75550,320,75870,297983,218831,34.8067438926482
6,Rampur Maniharan ,VISHVA DAYAL CHHOTAN,M,36,SC,INC,61643,144,61787,297983,218831,28.3459112283519
6,Rampur Maniharan ,None of the Above,,,,NOTA,856,0,856,297983,218831,0.392705585502925
6,Rampur Maniharan ,DAYAWATI CHAUDHRY,F,64,SC,RLD,695,1,696,297983,218831,0.319302672324808
6,Rampur Maniharan ,BIJENDRA,M,50,SC,IND,689,0,689,297983,218831,0.316091294873265
6,Rampur Maniharan ,REKHA,F,38,SC,IND,579,0,579,297983,218831,0.26562679206331
6,Rampur Maniharan ,ARVIND JHANJHOT,M,41,SC,RGD,522,1,523,297983,218831,0.239935772450969
6,Rampur Maniharan ,SURESH KUMAR,M,39,SC,BMUP,475,0,475,297983,218831,0.217914898497534
6,Rampur Maniharan ,ANJU BALA,F,32,SC,BHATARSP,391,0,391,297983,218831,0.179378369079023
6,Rampur Maniharan ,BABY,F,40,SC,KSJP,256,0,256,297983,218831,0.117444661084987
6,Rampur Maniharan ,KM.LATA,F,35,SC,IVD,244,0,244,297983,218831,0.111939442596628
7,Gangoh,PRADEEP KUMAR,M,46,GEN,BJP,99112,334,99446,357545,257378,38.7844325622935
7,Gangoh,NAUMAN MASOOD,M,47,GEN,INC,61354,64,61418,357545,257378,23.9533242072174
7,Gangoh,INDER SAIN,M,51,GEN,SP,47133,86,47219,357545,257378,18.4156438786773
7,Gangoh,MAHIPAL SINGH MAJRA,M,66,GEN,BSP,44578,139,44717,357545,257378,17.4398514861139
7,Gangoh,RAJNESH CHAUHAN,M,59,GEN,RLD,1049,5,1054,357545,257378,0.411065220528301
7,Gangoh,None of the Above,,,,NOTA,971,0,971,357545,257378,0.37869480942408
7,Gangoh,YATENDERA,M,44,GEN,IND,609,0,609,357545,257378,0.237513016415308
7,Gangoh,SATNAM SINGH,M,63,GEN,SARSAMP,579,0,579,357545,257378,0.225812867823421
7,Gangoh,KAWAR PAL,M,52,GEN,IND,526,0,526,357545,257378,0.205142605311087
7,Gangoh,VIKAS KUMAR,M,36,GEN,IND,475,0,475,357545,257378,0.185252352704879
7,Gangoh,SONU VERMA,M,35,GEN,BHATARSP,364,0,364,357545,257378,0.141961802914897
8,Kairana,NAHID HASAN,M,29,GEN,SP,98654,176,98830,300659,209134,47.4975249190192
8,Kairana,MRIGANKA SINGH,F,57,GEN,BJP,77529,139,77668,300659,209134,37.3271047800302
8,Kairana,ANIL KUMAR,M,54,GEN,RLD,19903,89,19992,300659,209134,9.60812018801004
8,Kairana,DIWAKAR DESHWAL,M,29,GEN,BSP,6858,30,6888,300659,209134,3.31036073704547
8,Kairana,MASEEHULLA,M,40,GEN,AIMIM,1365,0,1365,300659,209134,0.656016609475475
8,Kairana,SARFARAJ KHAN,M,49,GEN,LD,1124,3,1127,300659,209134,0.541634226284879
8,Kairana,None of the Above,,,,NOTA,1059,1,1060,300659,209134,0.509434143621981
8,Kairana,SETHPAL,M,49,GEN,IND,622,1,623,300659,209134,0.299412708940089
8,Kairana,DHARMVEER,M,41,GEN,IND,545,0,545,300659,209134,0.26192604554149
8,Kairana,VINOD KUMAR,M,51,GEN,IND,495,1,496,300659,209134,0.238376731355191
8,Kairana,SAHENDRA PAL,M,38,GEN,BAVAP,290,0,290,300659,209134,0.139373492122995
8,Kairana,SANDEEP,M,28,GEN,BMUP,250,0,250,300659,209134,0.120149562174995
9,Thana Bhawan,SURESH KUMAR,M,44,GEN,BJP,90796,199,90995,311405,212691,42.9610779573954
9,Thana Bhawan,ABDUL WARIS KHAN,M,36,GEN,BSP,74088,90,74178,311405,212691,35.0213400815833
9,Thana Bhawan,JAVED RAO,M,43,GEN,RLD,31210,65,31275,311405,212691,14.7657312282822
9,Thana Bhawan,SUDHIR KUMAR,M,56,GEN,SP,13393,87,13480,311405,212691,6.36425441909654
9,Thana Bhawan,None of the Above,,,,NOTA,883,0,883,311405,212691,0.416886991992748
9,Thana Bhawan,MOHD NASIR,M,25,GEN,BMUP,561,0,561,311405,212691,0.264862516996525
9,Thana Bhawan,RAHAT ALI,M,37,GEN,IND,378,0,378,311405,212691,0.178463514126001
9,Thana Bhawan,SUNIL,M,44,GEN,IND,318,0,318,311405,212691,0.150135972201239
9,Thana Bhawan,SAHDEV,M,47,GEN,IND,225,0,225,311405,212691,0.106228282217858
9,Thana Bhawan,MANJU,F,32,GEN,IND,210,0,210,311405,212691,0.0991463967366672
9,Thana Bhawan,PARVEZ ALI,M,43,GEN,IND,188,0,188,311405,212691,0.0887596313642544
10,Shamli,TEJENDRA NIRWAL,M,51,GEN,BJP,69803,282,70085,299856,196347,35.8590096497242
10,Shamli,PANKAJ KUMAR MALIK,M,38,GEN,INC,40270,95,40365,299856,196347,20.652763423145
