Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total valid votes polled +NOTA,% votes polled
95,Tundla ,RAKESH BABU,M,57,SC,BSP,62339,175,62514,349702,243591,25.8098344411874
95,Tundla ,SHIV SINGH CHAK,M,53,SC,SP,54785,103,54888,349702,243591,22.66132694769
95,Tundla ,GANGA PRASHAD PUSHKAR,M,83,SC,RLD,2573,3,2576,349702,243591,1.06353990338962
95,Tundla ,None of the Above,,,,NOTA,1381,0,1381,349702,243591,0.570166384542339
95,Tundla ,SALONI,F,25,SC,IND,871,0,871,349702,243591,0.359605301184922
95,Tundla ,JITENDRA KUMAR,M,50,SC,BMUP,786,0,786,349702,243591,0.324511787292019
95,Tundla ,RAHUL KUMAR,M,40,SC,IND,671,0,671,349702,243591,0.277032327319268
95,Tundla ,RAMTIRATH,M,40,SC,IND,549,0,549,349702,243591,0.22666281326122
95,Tundla ,RAVENDRA SINGH,M,34,SC,IND,351,0,351,349702,243591,0.144915569134222
95,Tundla ,SAPANA VERMA,F,33,SC,ADRSP,224,0,224,349702,243591,0.0924817307295322
95,Tundla ,MAMTESH KUMAR,M,27,SC,IND,196,0,196,349702,243591,0.0809215143883407
96,Jasrana,RAMGOPAL PAPPU LODHI,M,47,GEN,BJP,103316,110,103426,340477,230392,45.2661893174139
96,Jasrana,SHIVPRATAP SINGH,M,53,GEN,SP,82886,212,83098,340477,230392,36.3692862519914
96,Jasrana,SHIVRAJ SINGH YADAV,M,70,GEN,BSP,26232,42,26274,340477,230392,11.4992734721031
96,Jasrana,RAMVEER SINGH,M,60,GEN,LD,11257,17,11274,340477,230392,4.93426235535092
96,Jasrana,None of the Above,,,,NOTA,1908,0,1908,340477,230392,0.835069414050874
96,Jasrana,RAVINDRA SINGH,M,40,GEN,IND,1111,0,1111,340477,230392,0.486248490047443
96,Jasrana,JAY KUMAR,M,39,GEN,JAM,1039,0,1039,340477,230392,0.454736436687033
96,Jasrana,RAMDAS SAVITA,M,52,GEN,IND,874,1,875,340477,230392,0.382958981810543
96,Jasrana,MITHLESH URF SANDHYA RAJPOOT,F,26,GEN,IND,477,0,477,340477,230392,0.208767353512719
96,Jasrana,VIJENDRA SINGH,M,39,GEN,BSRD,389,0,389,340477,230392,0.170252621627773
96,Jasrana,MUNENDRA SINGH,M,46,GEN,RSD,321,0,321,340477,230392,0.140491237898496
96,Jasrana,PRAMOD KUMAR YADAV,M,33,GEN,HDVP,200,0,200,340477,230392,0.0875334815566954
97,Firozabad,MANISH ASIJA,M,52,GEN,BJP,102457,197,102654,379172,232278,44.3675120585032
97,Firozabad,AZIM BHAI,M,51,GEN,SP,60838,89,60927,379172,232278,26.3329184170946
97,Firozabad,KHALID NASIR,M,45,GEN,BSP,51264,123,51387,379172,232278,22.2096882941756
97,Firozabad,AHTSHAM ALI (BABAR),M,34,GEN,AIMIM,11474,4,11478,379172,232278,4.96084227996473
97,Firozabad,AJAY KUMAR,M,42,GEN,JAM,1688,0,1688,379172,232278,0.729561053195719
97,Firozabad,None of the Above,,,,NOTA,906,0,906,379172,232278,0.391577200352679
97,Firozabad,AMIT GARG,M,34,GEN,IND,703,0,703,379172,232278,0.303839704026416
97,Firozabad,RAJKISHOR TIWARI,M,46,GEN,IND,502,0,502,379172,232278,0.216966616530954
97,Firozabad,SHOUKIN SINGH,M,46,GEN,BSRD,349,0,349,379172,232278,0.150839340974707
97,Firozabad,JAHANGIR KHAN ALVI,M,49,GEN,PECP,336,0,336,379172,232278,0.145220683574503
97,Firozabad,KAUSHAL KISHORE UPADHYAY,M,50,GEN,RSD,314,4,318,379172,232278,0.137441004097298
97,Firozabad,MO SHAHAJAD KHAN,M,46,GEN,IUML,270,0,270,379172,232278,0.116695192158083
97,Firozabad,RAMGOPAL,M,42,GEN,BLSP,237,0,237,379172,232278,0.102432446449873
97,Firozabad,BALVEER SINGH,M,38,SC,BKPP,217,1,218,379172,232278,0.0942205625572671
97,Firozabad,NITENDAR GUPTA,M,48,GEN,LD,187,0,187,379172,232278,0.0808222256798575
97,Firozabad,DEEPAK SHARMA,M,30,GEN,MNVP,118,0,118,379172,232278,0.0510001210172363
98,Shikohabad,MUKESH VERMA,M,48,GEN,BJP,87773,78,87851,324838,214721,41.2405349707306
98,Shikohabad,SANJAY KUMAR,M,43,GEN,SP,76948,126,77074,324838,214721,36.1814093446186
98,Shikohabad,SHAILESH KUMAR,M,47,GEN,BSP,37423,89,37512,324838,214721,17.6095314546453
98,Shikohabad,RAM PRAKASH YADAV (NEHRU JI),M,62,GEN,IND,8050,24,8074,324838,214721,3.79023664333563
98,Shikohabad,None of the Above,,,,NOTA,1700,0,1700,324838,214721,0.798043385393928
98,Shikohabad,ASHOK KUMAR,M,43,GEN,BSRD,608,0,608,324838,214721,0.285417869599711
98,Shikohabad,CHANDRA KANT,M,47,GEN,IND,485,0,485,324838,214721,0.227677083480032
98,Shikohabad,BHOOPENDRA,M,26,GEN,NINSHAD,387,0,387,324838,214721,0.1816722294985
98,Shikohabad,NEKPAL SINGH,M,28,GEN,IND,377,0,377,324838,214721,0.176977856643242
98,Shikohabad,TURSHAN PAL,M,58,GEN,BLSP,249,0,249,324838,214721,0.116889884095934
98,Shikohabad,DEVENDRA,M,29,GEN,JAM,247,0,247,324838,214721,0.115951009524883
98,Shikohabad,AVNISH KUMAR,M,26,SC,IND,157,0,157,324838,214721,0.0737016538275569
99,Sirsaganj,HARIOM YADAV,M,58,GEN,SP,90193,88,90281,305946,203075,44.7993529274574
99,Sirsaganj,JAIVEER SINGH,M,58,GEN,BJP,79528,77,79605,305946,203075,39.5016945956541
99,Sirsaganj,RAGHVENDRA SINGH,M,43,GEN,BSP,20876,44,20920,305946,203075,10.3809490728105
99,Sirsaganj,PANKAJ MISHRA,M,43,GEN,JAM,6169,7,6176,305946,203075,3.06466259434407
99,Sirsaganj,ASHOK YADAV,M,57,GEN,IND,2184,0,2184,305946,203075,1.08374726458022
99,Sirsaganj,None of the Above,,,,NOTA,1552,0,1552,305946,203075,0.770135418785945
99,Sirsaganj,DURBEEN SINGH,M,48,GEN,BSCP,785,0,785,305946,203075,0.389533700867891
99,Sirsaganj,BRAJESH KUMAR,M,44,GEN,IND,549,0,549,305946,203075,0.272425479970028
99,Sirsaganj,SANTOSH KUMAR,M,34,GEN,IND,529,0,529,305946,203075,0.262501054470209
99,Sirsaganj,SANTOSH KUMAR,M,38,GEN,BSRD,299,0,299,305946,203075,0.148370161222292
99,Sirsaganj,ATISH KUMAR,M,47,GEN,IND,195,0,195,305946,203075,0.0967631486232341
100,Kasganj,DEVENDRA SINGH RAJPUT,M,45,GEN,BJP,101540,368,101908,345711,220120,46.7259980650811
100,Kasganj,HASRAT ULLAH SHERVANI,M,57,GEN,SP,49640,238,49878,345711,220120,22.8696405727727
100,Kasganj,AJAY CHATURVEDI,M,61,GEN,BSP,37636,182,37818,345711,220120,17.3399909214707
100,Kasganj,SUDHIR ALIAS PAPPU YADAV,M,48,GEN,MD,22203,47,22250,345711,220120,10.2018826485463
100,Kasganj,KULDEEP KUMAR,M,35,GEN,RSHP,2797,6,2803,345711,220120,1.28520795792698
100,Kasganj,None of the Above,,,,NOTA,2021,2,2023,345711,220120,0.92756892575322
100,Kasganj,PREETI MISHRA,F,34,GEN,IND,966,1,967,345711,220120,0.443380697579517
100,Kasganj,ANIL KUMAR,M,27,GEN,IND,746,0,746,345711,220120,0.342049638463619
100,Kasganj,ARCHANA DEVI,F,43,GEN,IND,685,0,685,345711,220120,0.314080432101313
100,Kasganj,PADAM SINGH,M,41,GEN,IND,562,0,562,345711,220120,0.257683507796989
100,Kasganj,NARENDRA KUMAR,M,28,GEN,IND,478,2,480,345711,220120,0.220085558260774
101,Amanpur,DEVENDRA PRATAP,M,55,GEN,BJP,85071,128,85199,292812,183778,46.6751764035588
101,Amanpur,VIRENDRA SINGH SOLANKI,M,67,GEN,SP,43251,144,43395,292812,183778,23.7733926458342
101,Amanpur,DEV PRAKASH,M,32,GEN,BSP,33083,83,33166,292812,183778,18.1695665512556
101,Amanpur,RAHUL PANDAY,M,33,GEN,MD,16937,30,16967,292812,183778,9.29515273699435
101,Amanpur,None of the Above,,,,NOTA,1241,1,1242,292812,183778,0.680413726607354
101,Amanpur,SALIKRAM,M,64,GEN,CPM,885,0,885,292812,183778,0.484835867993163
101,Amanpur,DHIRENDRA SINGH,M,36,GEN,JANADIP,767,0,767,292812,183778,0.420191085594075
101,Amanpur,MUNNALAL,M,33,SC,IND,763,0,763,292812,183778,0.417999737038173
101,Amanpur,ARUN,M,34,GEN,IND,546,0,546,292812,183778,0.299119077880528
101,Amanpur,DUSHYANT KUMAR,M,27,GEN,SHS,529,0,529,292812,183778,0.289805846517947
101,Amanpur,CHANDRASHEKHAR MISHRA,M,36,GEN,MHP,319,0,319,292812,183778,0.174760047333129
102,Patiyali,MAMTESH,M,44,GEN,BJP,72340,74,72414,328107,202823,35.9790725752359
102,Patiyali,KIRAN YADAV,F,44,GEN,SP,68558,85,68643,328107,202823,34.1054420247731
102,Patiyali,DHEERENDRA BAHADUR SINGH CHAUHAN    DHEERU,M,40,GEN,BSP,44099,32,44131,328107,202823,21.9265950205448
102,Patiyali,SHYAMSUNDAR,M,48,GEN,MD,10579,7,10586,328107,202823,5.25967992765828
102,Patiyali,None of the Above,,,,NOTA,1556,0,1556,328107,202823,0.773102396319317
102,Patiyali,SHRIKUMAR,M,59,GEN,IND,1020,0,1020,328107,202823,0.506789488589784
102,Patiyali,ASHOK KUMAR MISHRA,M,52,GEN,IND,975,0,975,328107,202823,0.484431128799058
102,Patiyali,POORAN SINGH,M,35,GEN,MHP,921,0,921,328107,202823,0.457601097050187
102,Patiyali,VINAY MISHRA,F,51,GEN,BSCP,799,0,799,328107,202823,0.396985099395331
102,Patiyali,VIPIN KUMAR,M,40,GEN,IND,743,0,743,328107,202823,0.369161362766872
102,Patiyali,RAHUL,M,32,GEN,IND,389,0,389,328107,202823,0.193275599079829
102,Patiyali,MOHAR SINGH,M,60,SC,UPRP,324,0,324,328107,202823,0.160980190493225
102,Patiyali,DAVENDRA SINGH,M,30,GEN,IND,322,0,322,328107,202823,0.159986485613638
103,Aliganj,SATYAPAL SINGH RATHAUR,M,59,GEN,BJP,88518,177,88695,333944,216594,41.2492675168122
103,Aliganj,RAMESHWAR SINGH YADAV,M,65,GEN,SP,74622,222,74844,333944,216594,34.8076010826799
103,Aliganj,AWADHPAL SINGH YADAV,M,56,GEN,BSP,46145,130,46275,333944,216594,21.5210536596255
103,Aliganj,None of the Above,,,,NOTA,1572,0,1572,333944,216594,0.731087981694896
103,Aliganj,HARVESH,M,37,GEN,IND,1305,0,1305,333944,216594,0.606914641292519
103,Aliganj,RAM KISHORE,M,50,GEN,MD,1070,0,1070,333944,216594,0.497623498990801
103,Aliganj,SUKHVIR,M,31,GEN,IND,998,0,998,333944,216594,0.464138553264317
103,Aliganj,MUKESH,M,33,GEN,IND,604,0,604,333944,216594,0.280901489149947
103,Aliganj,RAM BRIJESH,M,50,GEN,IND,305,0,305,333944,216594,0.141845950646911
103,Aliganj,PHOOL SINGH,M,33,GEN,IND,265,0,265,333944,216594,0.123243203021086
103,Aliganj,OMPAL SINGH YADAV,M,42,GEN,IND,186,0,186,333944,216594,0.0865027764600832
103,Aliganj,RAGHVEDRA SINGH,M,36,GEN,IND,169,0,169,333944,216594,0.0785966087191078
103,Aliganj,DILIP KUMAR,M,48,GEN,IND,124,0,124,333944,216594,0.0576685176400554
103,Aliganj,GURUDEV SINGH,M,41,GEN,IND,100,0,100,333944,216594,0.0465068690645608
103,Aliganj,KAMLESH MISHRA,M,50,GEN,IND,82,0,82,333944,216594,0.0381356326329399
104,Etah,VIPIN KUMAR DAVID,M,46,GEN,BJP,82018,498,82516,317254,201649,41.1814025911804
104,Etah,JUGENDRA SINGH YADAV,M,47,GEN,SP,61025,362,61387,317254,201649,30.636516080091
104,Etah,GAJENDRA SINGH CHAUHAN URF BABLOO,M,47,GEN,BSP,41557,380,41937,317254,201649,20.9295709979438
104,Etah,ASHISH KUMAR YADAV,M,32,GEN,LD,10980,52,11032,317254,201649,5.50575928772483
104,Etah,None of the Above,,,,NOTA,1269,8,1277,317254,201649,0.637314594853572
104,Etah,RAJARAM,M,49,GEN,CPM,918,2,920,317254,201649,0.459145988461462
104,Etah,SUNEET CHAUHAN,M,27,GEN,IND,679,0,679,317254,201649,0.338869702353622
104,Etah,SUKHVENDRA SINGH,M,28,GEN,IND,463,0,463,317254,201649,0.231070209410496
104,Etah,RAJESH KUMAR,M,27,GEN,IND,359,2,361,317254,201649,0.180164893298465
104,Etah,YOGENDRAPAL SINGH,M,46,GEN,IND,332,1,333,317254,201649,0.166190884953986
104,Etah,PRADEEP KUMAR,M,28,GEN,JANADIP,274,0,274,317254,201649,0.136745653085261
104,Etah,MANOJ KUMAR,M,48,GEN,IND,217,1,218,317254,201649,0.108797636396303
104,Etah,RAJESH KUMAR,M,39,GEN,VPI,126,1,127,317254,201649,0.0633821092767453
104,Etah,OMENDRA SINGH,M,46,GEN,IND,125,0,125,317254,201649,0.0623839658235682
105,Marhara,VIRENDRA,M,46,GEN,BJP,92267,240,92507,296197,191339,48.6909699559972
105,Marhara,AMIT GAURAV,M,41,GEN,SP,58770,305,59075,296197,191339,31.094069099101
105,Marhara,SHALABH MAHESHWARI,M,42,GEN,BSP,31827,139,31966,296197,191339,16.8252731751479
105,Marhara,KAILASH LODHI,M,34,GEN,JAM,2166,2,2168,296197,191339,1.1411247026128
105,Marhara,HARENDRA KUMAR,M,26,GEN,IND,1496,0,1496,296197,191339,0.787418152725435
105,Marhara,None of the Above,,,,NOTA,1350,1,1351,296197,191339,0.711097543002716
105,Marhara,RANJIT,M,51,GEN,LD,1159,0,1159,296197,191339,0.610038528749184
105,Marhara,SHIVA RAJPUT,M,31,GEN,IND,500,0,500,296197,191339,0.263174516285239
105,Marhara,RAM NIVAS,M,49,GEN,VPI,419,0,419,296197,191339,0.22054024464703
105,Marhara,BHU DEVI,F,54,GEN,IND,369,0,369,296197,191339,0.194222793018506
105,Marhara,VIDHYARAM,M,68,GEN,BSRD,328,1,329,296197,191339,0.173168831715687
106,Jalesar ,SANJEEV KUMAR DIWAKAR,M,38,SC,BJP,81262,240,81502,280441,184640,44.4268800558184
106,Jalesar ,RANJEET SUMAN,M,42,SC,SP,61446,248,61694,280441,184640,33.6295052656826
106,Jalesar ,MOHAN SINGH HAPPY,M,34,SC,BSP,35665,152,35817,280441,184640,19.5239081612629
106,Jalesar ,RAJKUMARI,F,48,SC,RTKP,2374,1,2375,280441,184640,1.29461657545298
106,Jalesar ,None of the Above,,,,NOTA,1188,0,1188,280441,184640,0.64758083858448
106,Jalesar ,RAMDAS DAGA,M,61,SC,IND,597,0,597,280441,184640,0.325425724440181
106,Jalesar ,SURESH,M,42,SC,IND,489,0,489,280441,184640,0.266554739114319
106,Jalesar ,DHARMENDRA PAL SINGH,M,34,SC,IND,384,1,385,280441,184640,0.209864160652378
106,Jalesar ,GEETA DEVI,F,30,SC,IND,326,0,326,280441,184640,0.177703159409546
106,Jalesar ,JAYPAL,M,48,SC,IND,267,0,267,280441,184640,0.145542158166714
107,Mainpuri,RAJKUMAR ALIAS RAJU YADAV,M,47,GEN,SP,75387,400,75787,326542,196813,38.7348202968475
107,Mainpuri,ASHOK KUMAR,M,58,GEN,BJP,66610,346,66956,326542,196813,34.2212863392894
107,Mainpuri,MAHARAJ SINGH,M,56,GEN,BSP,47967,347,48314,326542,196813,24.6933393302531
107,Mainpuri,SATYENDRA SINGH,M,36,GEN,MHP,1257,0,1257,326542,196813,0.642454103119761
107,Mainpuri,None of the Above,,,,NOTA,1155,2,1157,326542,196813,0.591343991495277
107,Mainpuri,VINAY,M,47,GEN,JAM,682,2,684,326542,196813,0.349593163511469
107,Mainpuri,PRADEEP KUMAR,M,45,GEN,RLD,636,0,636,326542,196813,0.325060309931717
107,Mainpuri,RAMNARESH,M,57,GEN,BSRD,595,0,595,326542,196813,0.304105164165679
107,Mainpuri,SURJEET SINGH,M,42,GEN,IND,365,0,365,326542,196813,0.186551907429366
107,Mainpuri,SURESH,M,66,GEN,IND,339,0,339,326542,196813,0.173263278407
107,Mainpuri,SANJEEV KUMAR,M,33,GEN,IND,284,0,284,326542,196813,0.145152717013534
107,Mainpuri,MAHARAJ SINGH,M,49,GEN,IND,266,0,266,326542,196813,0.135952896921127
107,Mainpuri,PAL SINGH,M,60,GEN,IND,172,1,173,326542,196813,0.0884204931103569
108,Bhongaon,RAM NARESH AGNIHOTRI,M,60,GEN,BJP,92431,266,92697,331050,195746,47.6581458479003
108,Bhongaon,ALOK KUMAR,M,44,GEN,SP,72004,396,72400,331050,195746,37.2228848764036
108,Bhongaon,SURENDRA SINGH,M,42,GEN,BSP,25872,169,26041,331050,195746,13.3884136058899
108,Bhongaon,None of the Above,,,,NOTA,1239,3,1242,331050,195746,0.638547279233332
108,Bhongaon,CHAKRAPAN,M,38,GEN,BAVAP,806,2,808,331050,195746,0.41541562127257
108,Bhongaon,SANDEEP KUMAR,M,28,GEN,IND,696,0,696,331050,195746,0.357833257927858
108,Bhongaon,AJAY KUMAR,M,27,GEN,VPI,522,0,522,331050,195746,0.268374943445893
108,Bhongaon,PUSHPENDRA KUMAR,M,28,GEN,BSRD,409,2,411,331050,195746,0.21130670834533
108,Bhongaon,SUNIL KUMAR,M,44,GEN,IND,397,1,398,331050,195746,0.20462304117139
108,Bhongaon,HARIRAM SHAKYA,M,79,GEN,RTKP,306,2,308,331050,195746,0.15835149919796
108,Bhongaon,ARVIND SINGH,M,62,GEN,IND,223,0,223,331050,195746,0.114650598445276
109,Kishani (SC),BRAJESH KUMAR,M,46,SC,SP,80164,311,80475,298559,179515,45.0979293339685
109,Kishani (SC),SUNIL KUMAR,M,51,SC,BJP,63802,144,63946,298559,179515,35.8351312729412
109,Kishani (SC),KAMLESH KUMARI,F,55,SC,BSP,27740,118,27858,298559,179515,15.6115329653395
109,Kishani (SC),SUMAN DIWAKAR,F,57,SC,JAM,2721,3,2724,298559,179515,1.52652077670991
109,Kishani (SC),None of the Above,,,,NOTA,1069,1,1070,298559,179515,0.599624534170192
109,Kishani (SC),GRISH KUMAR,M,44,SC,RLD,919,1,920,298559,179515,0.515565020034184
109,Kishani (SC),NETRAPAL,M,44,SC,BSRD,800,0,800,298559,179515,0.448317408725378
109,Kishani (SC),NATHOO RAM,M,60,SC,IND,442,0,442,298559,179515,0.247695368320771
109,Kishani (SC),LEENA SINGH,F,43,SC,IND,377,0,377,298559,179515,0.211269578861834
109,Kishani (SC),ASHISH NIGAM,M,26,SC,IND,363,0,363,298559,179515,0.20342402420914
109,Kishani (SC),AKHILESH,M,41,SC,IND,285,1,286,298559,179515,0.160273473619322
109,Kishani (SC),MEERA,F,42,SC,FJP,253,1,254,298559,179515,0.142340777270307
110,Karhal,SOBARAN SINGH YADAV,M,60,GEN,SP,103901,320,104221,355392,210268,49.8059774245654
110,Karhal,RAMA SHAKYA,F,47,GEN,BJP,65713,103,65816,355392,210268,31.4526842975523
110,Karhal,DALVIR,M,42,GEN,BSP,29586,90,29676,355392,210268,14.1818077551684
110,Karhal,KAUSHAL YADAV,M,40,GEN,RLD,4668,15,4683,355392,210268,2.23795005113403
110,Karhal,LAL KUMAR,M,42,GEN,RKMP,1712,1,1713,355392,210268,0.818622344136791
110,Karhal,None of the Above,,,,NOTA,1012,2,1014,355392,210268,0.484578550469764
110,Karhal,RANVIJAY SINGH,M,62,GEN,BSRD,776,0,776,355392,210268,0.370841178663251
110,Karhal,PANNALAL,M,40,GEN,IND,720,0,720,355392,210268,0.344079444120542
110,Karhal,VINAY,M,30,GEN,IND,670,0,670,355392,210268,0.320185038278838
110,Karhal,SUNIL,M,42,GEN,IND,531,0,531,355392,210268,0.2537585900389
110,Karhal,RAMPRAKASH,M,40,SC,IND,448,0,448,355392,210268,0.214093876341671
111,Gunnaur,AJEET KUMAR URF RAJU YADAV,M,41,GEN,BJP,107216,128,107344,372513,227731,47.6889449647255
111,Gunnaur,RAM KHILADI SINGH,M,55,GEN,SP,95639,319,95958,372513,227731,42.6305688340767
111,Gunnaur,MOHAMMAD ISLAM KHAN,M,53,GEN,BSP,16035,17,16052,372513,227731,7.13130631030867
111,Gunnaur,None of the Above,,,,NOTA,2638,1,2639,372513,227731,1.17240950366961
111,Gunnaur,AJEET,M,41,GEN,IND,1292,0,1292,372513,227731,0.573987525100848
111,Gunnaur,KUNWARPAL,M,54,GEN,BSRD,1219,0,1219,372513,227731,0.541556341407069
111,Gunnaur,SURESH CHANDRA,M,45,GEN,IND,1062,0,1062,372513,227731,0.471807083325929
111,Gunnaur,ATUL KUMAR,M,39,GEN,IND,875,0,875,372513,227731,0.388729941535017
111,Gunnaur,HARISINGH,M,63,GEN,AIFB,697,0,697,372513,227731,0.309651164857036
111,Gunnaur,BHADUR SINGH YADAV,M,71,GEN,SSAD,593,0,593,372513,227731,0.26344783466316
112,Bisauli ,KUSHAGRA SAGAR,M,25,SC,BJP,100077,210,100287,387666,228995,44.2469325356382
112,Bisauli ,ASHUTOSH MAURYA ALIAS RAJU,M,40,SC,SP,89313,286,89599,387666,228995,39.5313540963499
112,Bisauli ,MAJOR KAILASH SAGAR,M,43,SC,BSP,32317,81,32398,387666,228995,14.2940971440925
112,Bisauli ,None of the Above,,,,NOTA,2341,1,2342,387666,228995,1.03329759588446
112,Bisauli ,JAGVEER,M,49,SC,PPS,1508,0,1508,387666,228995,0.665334233387601
112,Bisauli ,HARI PRAKASH ARYA,M,33,SC,SSAD,1187,0,1187,387666,228995,0.52370804710284
112,Bisauli ,SURENDRA,M,50,SC,IND,1042,0,1042,387666,228995,0.459733601584801
112,Bisauli ,KM.YASHODA,F,25,SC,JAM,632,0,632,387666,228995,0.278840341844141
113,Sahaswan,OMKAR SINGH,M,66,GEN,SP,77285,258,77543,398634,240800,32.595061749153
113,Sahaswan,ARSHAD ALI,M,46,GEN,BSP,73170,104,73274,398634,240800,30.8005952130745
113,Sahaswan,UMLESH YADAV,F,59,GEN,RPD,57477,45,57522,398634,240800,24.1792701073569
113,Sahaswan,ASHTOSH VARSHNEY,M,38,GEN,BJP,24113,39,24152,398634,240800,10.1522501240027
113,Sahaswan,None of the Above,,,,NOTA,2902,0,2902,398634,240800,1.21985052417423
113,Sahaswan,ANIL KUMAR,M,41,GEN,RLD,2117,0,2117,398634,240800,0.88987717425115
113,Sahaswan,RAJPAL SINGH,M,64,GEN,BSRD,2048,0,2048,398634,240800,0.860873147315236
113,Sahaswan,RIYASAT KHAN,M,60,GEN,BBPP,1242,0,1242,398634,240800,0.522072484846447
114,Bilsi,PT. RADHA KRISHAN SHARMA,M,50,GEN,BJP,81870,200,82070,334037,196030,42.2823286965482
114,Bilsi,MUSARRAT ALI BITTAN,M,45,GEN,BSP,54972,119,55091,334037,196030,28.3827923750644
114,Bilsi,VIMAL KRISHAN AGARWAL ALIAS PAPPI,M,57,GEN,SP,50635,213,50848,334037,196030,26.1968057702215
114,Bilsi,None of the Above,,,,NOTA,1930,0,1930,334037,196030,0.994332818134982
114,Bilsi,RIZWAN ALI,M,40,GEN,JAM,1844,2,1846,334037,196030,0.951056156620299
114,Bilsi,SATPAL SINGH,M,43,GEN,IND,1285,0,1285,334037,196030,0.662029881504379
114,Bilsi,ARVIND SINGH,M,44,GEN,RSHP,672,0,672,334037,196030,0.346213292117465
114,Bilsi,RAJENDRA SINGH,M,47,GEN,IND,623,0,623,334037,196030,0.320968572900567
114,Bilsi,FAKIR CHANDRA MAURYA,M,60,GEN,IND,540,0,540,334037,196030,0.278207109737249
114,Bilsi,CHANDRABHAN SINGH,M,49,GEN,IND,413,0,413,334037,196030,0.212776919113859
114,Bilsi,FAQRUDDEN,M,40,GEN,IND,376,2,378,334037,196030,0.194744976816074
114,Bilsi,PAWAN GULATI,M,49,GEN,IND,333,1,334,334037,196030,0.172076249356002
115,Badaun,MAHESH CHANDRA GUPTA,M,59,GEN,BJP,86933,381,87314,353550,212745,41.3348103542957
115,Badaun,ABID RAZA KHAN,M,44,GEN,SP,70639,208,70847,353550,212745,33.5392641405821
115,Badaun,BHUPENDRA SINGH,M,61,GEN,BSP,32422,219,32641,353550,212745,15.4523850101308
115,Badaun,RAMSEWAK SINGH PATEL,M,62,GEN,SHS,14484,92,14576,353550,212745,6.90033895737469
115,Badaun,None of the Above,,,,NOTA,1506,3,1509,353550,212745,0.714366869283645
115,Badaun,SATISH CHANDRA,M,52,GEN,IND,1127,0,1127,353550,212745,0.533526482228408
115,Badaun,KHALID PERVAIZ,M,59,GEN,AIMIM,883,0,883,353550,212745,0.418015868507262
115,Badaun,HARINDRA SINGH YADAV,M,61,GEN,IND,847,1,848,353550,212745,0.401446723096442
115,Badaun,AMARJEET SINGH,M,29,GEN,BHABHAPA,699,0,699,353550,212745,0.330909504061808
115,Badaun,SACHIN PATHAK,M,25,GEN,PPS,618,1,619,353550,212745,0.293037171694219
115,Badaun,MUZAFFAR ALI KHAN,M,39,GEN,IND,490,0,490,353550,212745,0.231968035751482
115,Badaun,ABINAV RAJ,M,27,GEN,IND,421,0,421,353550,212745,0.199303149084436
115,Badaun,ARUN PRAKASH GUPTA,M,36,GEN,IND,273,0,273,353550,212745,0.129239334204397
115,Badaun,MAHESH KUMAR SHRIVASTAVA,M,42,GEN,KAJP,256,2,258,353550,212745,0.122138271885474
115,Badaun,KRISHAN PAL,M,61,GEN,BSRD,240,0,240,353550,212745,0.113616997102767
116,Shekhupur,DHARMENDRA KUMAR SINGH SHAKYA,M,41,GEN,BJP,93473,229,93702,377662,235906,40.0418785521986
116,Shekhupur,ASHISH YADAV,M,40,GEN,SP,70037,279,70316,377662,235906,30.048288534678
116,Shekhupur,MOHD. RIZWAN,M,42,GEN,BSP,64113,214,64327,377662,235906,27.4889961967437
116,Shekhupur,None of the Above,,,,NOTA,1896,0,1896,377662,235906,0.810221785393787
116,Shekhupur,KM. SARVESHA DEVI,F,31,SC,IND,1619,0,1619,377662,235906,0.69185077560788
116,Shekhupur,RAJENDRA,M,38,GEN,BSRD,1100,1,1101,377662,235906,0.470492713986582
116,Shekhupur,KAMTA PRASAD,M,38,GEN,MD,921,1,922,377662,235906,0.394000256399299
116,Shekhupur,ANESH PAL,M,36,GEN,PECP,899,0,899,377662,235906,0.384171616597581
116,Shekhupur,PRITI KASHYAP,F,26,GEN,RMEP,657,0,657,377662,235906,0.280757232596898
116,Shekhupur,BANDEHASAN,M,44,GEN,IEMC,465,2,467,377662,235906,0.199564121191402
117,Dataganj,RAJEEV KUMAR SINGH URF BABBU BHAIYA,M,53,GEN,BJP,78991,119,79110,389734,224822,35.4990554226815
117,Dataganj,SINOD KUMAR SHAKYA (DEEPU BHAIYA),M,40,GEN,BSP,53199,152,53351,389734,224822,23.9402111724874
117,Dataganj,CAPTAIN ARJUN SINGH,M,31,GEN,LD,38968,61,39029,389734,224822,17.5134955643008
117,Dataganj,PREM PAL SINGH YADAV,M,61,GEN,INC,32105,138,32243,389734,224822,14.4684116292949
117,Dataganj,DR SHAILESH PATHAK,M,56,GEN,PECP,11033,31,11064,389734,224822,4.96475223355516
117,Dataganj,None of the Above,,,,NOTA,1969,2,1971,389734,224822,0.884447455923465
117,Dataganj,JITENDRA SINGH YADAV,M,37,GEN,RLD,1898,0,1898,389734,224822,0.851690142741114
117,Dataganj,MAN SINGH,M,64,GEN,DESP,1195,0,1195,389734,224822,0.536232729491903
117,Dataganj,RAJVEER SHARMA,M,35,GEN,BSRD,1180,1,1181,389734,224822,0.529950505045972
