Party Type,Party Name,Party Abbreviation
U,Kisan Kranti Dal,KTKD
U,Krantikari Yuva Party,KYP
U,Lok Dal,LD
U,Lok Ekta Party,LEP
U,Lok Gathbandhan Party,LOGAP
U,Loktantrik Manavatavadi Party,LOMP
U,Labour Party of India (V.V. Prasad),LPI(V)
U,Lokpriya Samaj Party,LPSP
U,Lok Raksha Party,LRAP
U,Lok Shahi Party (Secular),LSPS
U,Loktantrik Samajwadi Party,LSWP
U,Moulik Adhikar Party,MADP
U,Mahakranti Dal,MAHAD
U,Mahila Sashaktikaran Party,MAHISAP
U,Manavadhikar Janshakti Party,MaJP
U,Manavtawadi Kranti Dal,MaKDL
U,Manav Kalyan Munch,makm
U,Manviya Bharat Party,MANBP
U,Manav Kranti Party,ManKP
U,Manvadhikar National Party,MaNPa
U,Mahila Swabhiman Party,MaSPa
U,Most Backward Classes Of India,MBCOI
U,Mahan Dal,MD
U,Mahamukti Dal,MHD
U,Manav Hit Party,MHP
U,Majdoor Kisan Union Party,MKUP
U,Minorities Democratic Party,MNDP
U,Manuvadi Party,MNVP
U,Moderate Party,MOP
U,Manavtawadi Samaj Party,MwSP
U,National Aman Party,NaAP
U,National Democratic Front,NADEF
U,National Lokmat Party,NaLP
U,Naitik Party,NAP
U,National Apni Party,NAPt
U,Nasha Mukt Bharat Party,NASHMBP
U,Naveen Samajwadi Dal,NAVSAD
U,National Democratic Peoples Front,NDPF
U,Nagrik Ekta Party,NEP
U,Nirbal Indian Shoshit Hamara Aam Dal,NINSHAD
U,Nav Jankranti Party,NJaP
U,Nirmal India Party,NLIP
U,National Peace Party Secular,NPPS
U,Nirdhan Samaj Party of India,NSPI
U,National Youth Party,NYP
U,Ojaswi Party,OP
U,Purvanchal Janta Dal,PAJD
U,"Proutist Bloc, India",PBI
U,Param Digvijay Dal,PDD
U,Peace Party,PECP
U,Pragatisheel Samaj Party,PGSP
U,Pragatisheel Lok Manch,PLM
U,Pichhravarg Mahapanchayat Party,PMhP
U,Pragatisheel Manav Samaj Party,PMSP
U,Poorvanchal People's Party,POOPEP
U,Parcham Party of India,PPI
U,Prajashakti Party Samdarshi,pps
U,Pichhada Samanya Alpsankhyak Vyapari Kisan Party,PSAVKP
U,Parivartan Samaj Party,PSJP
U,Poorna Swaraj Manch,PSWAM
U,Public Political Party,PuPP
U,Pashchimi Uttar Pradesh Vikas Party,PUPVP
U,Rashtriya Bandhutwa Party,RaBaP
U,Rashtriya Congress (Babu Jagjivanram),RAC
U,Rashtriya Congress(J) Party,RaCP
U,Rastriya Insaaf Party,RaIP
U,Rashtriya Jan  Adhikar Party,RAJADP
U,Rashtriya Janadhar  Party,RAJAP
U,Rajlok Party,RAJP
U,Rastriya Aam Jan Seva Party,RAJSPty
U,Rashtriya Lokshakti Party,RaLoPa
U,Rashtriya Shahri Vikas Party,RASHVIP
U,Rashtrawadi Janwadi Manch,RasJM
U,Rashtriya Bahujan Congress Party,RBCP
U,Rashtriya Garib Dal,RGD
U,Rashtriya Janadhikar Party,RJAP
U,Rashtriya Jantantrik Bharat Vikas Party,RJBVP
U,Rashtriya Janhit Sangharsh Party,RJSNP
U,Rashtriya Kisan Vikas Party,RKIVP
U,Rashtriya Kisan Majdoor Party,RKMP
U,Rashtriya Krantikari Samajwadi Party,RKSP
U,Rashtriya Lokraj Party,RLrP
U,Rashtriya Mazdoor Ekta Party,RMEP
U,Rashtriya mahan Gantantra Party,RMGP
U,Rashtriya Mahila Janshakti Party,RMJP
U,Rashtriya Parivartan Dal,RPD
U,Rashtrawadi Praja Dal,RPDl
U,Republican Party of India,RPI
U,Republican Party of India (A),RPI(A)
U,Republican Party of India Ektavadi,RPIE
U,Republican Sena,rpsn
U,Rashtriya Sarvajan Party,RrSP
U,Rashtriya Apna Dal,RsAD
U,Rashtriya Sawarn Dal,RSD
U,Rashtriya Janshanti Party,RshJP
U,Rashtravadi Pratap Sena,RSHP
U,Rashtravyapi Janta Party,RsJnP
U,Rashtriya Samanta Dal,RSMD
U,Rashtriya Shoshit Samaj Party,RSOSP
U,Rashtriya Samajwadi Party  (Secular),RSP(S)
U,Rashtriya Samaj Paksha,RSPS
U,Rashtriya Janpriya Party,RtJP
U,Rashtriya Kranti Party,RTKP
U,Rashtriya Janta Party,RtrJP
U,Rashtriya Samajwadi Jankranti Party,RtSJP
U,Rashtriya Ulama Council,RUC
U,Rashtriya Vikalp Party,RViP
U,RASHTRIYA VIKLANG PARTY,RVLP
U,Rashtriya Vikas Manch Party,RVMP
U,Rashtravadi Janata Party,RVNP
U,Sarvodaya Bharat Party,SABHP
U,Sarvshreshth Dal,SaDa
U,Samajwadi Janata Party (ChandraShekhar),SaJPCs
U,Saman Adhikar Party,SamAP
U,Sampoorna Samaj Party,SAMSAMPA
U,Sanyukt Vikas Party,SANVP
U,Samaj Parivartan Party,SaPP
U,Samtawadi Republican Party,SARP
U,Sarv Sambhaav Party,SARSAMP
U,Samajwadi Samaj Party,SaSaP
U,Samaj Seva Party,SASEP
U,Samaj Sevak Party,SASEPA
U,Sarvjan Samta Party,SaSPa
U,Satya Kranti Party,SATKP
U,Satya Shikhar Party,SATSHIP
U,Suheldev Bhartiya Samaj Party,SBSP
U,Sabka Dal United,SDU
U,Shoshit Sandesh Party,shsap
U,Shoshit Samaj Party,SHSP
U,Sarvajan Kalyan Loktantrik Party,SKLP
U,Socialist Party (India),SP(I)
U,Sanyukt Samajwadi Dal,SSAD
U,Samta Samjwadi Congress Party,SSCP
U,Shoshit Samaj Dal,SSD
U,Sarva Samaj Kalyan Party,SSKP
U,Swachh Swasth Swawlambijan Party,SSSP
U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),SUCI
U,Suraksha Samaj Party,SURSAP
U,Swatantra Jantaraj Party,SWAJANPA
U,Swabhiman Party,SWAP
U,Samajwadi Jan Parishad,SWJP
U,Swarajya Party Of India,SWPI
U,United Democratic Front Secular,UDFS
U,Uttarakhand Kranti Dal,UKKD
U,United National Party,UNP
U,Uttar Pradesh Republican Party,UPRP
U,VANCHITSAMAJ INSAAF PARTY,VIP
U,Vaicharik Kranti Party,VKP
U,Vikas Party,VP
U,Voters Party  International,VPI
U,Yuva Vikas Party,YVP
Z,Independent,IND
Z1,None of the Above,NOTA
