Constituency Name,Constituency No.,Candidate No.,Candidate Name,Party Type,Party Name, Vote Secured, Total Valid Votes, % of Votes Secured Over Total Electors, % of Votes Secured Over Total Votes Poled, Status,Total Electors,Constituency Type
Bhagwantnagar,166,2,VINAY KUMARI SINGH,S,RLD,1426,234335,,,FD,409675,GEN
MOHAMMDI,144,2,RAMBETI SHARMA,S,RLD,1151,219146,,,FD,315253,GEN
Puranpur,129,1,AYASHA BEGUM,S,RLD,1658,246819,,,FD,369513,SC
Pipraich,321,2,ANUPAMA ARYA,S,RLD,676,246015,,,FD,386424,GEN
Faridpur,122,1,POONAM SEN,S,RLD,3075,190209,,,FD,307006,SC
Rampur Maniharan ,6,1,DAYAWATI CHAUDHRY,S,RLD,696,218831,,,FD,297981,SC
Balamau ,160,2,RAJESWARI,S,RLD,1087,187997,,,FD,347457,SC
Barhapur,19,2,RADHA,S,RLD,3449,222149,,,FD,338084,GEN
Deoria,337,2,KRISHNA,S,RLD,820,183289,,,FD,324195,GEN
SRI NAGAR,140,1,CHANDRAVATI DEVI,S,RLD,1810,222865,,,FD,307957,SC
Hapur ,59,1,ANJU URF MUSKAAN,S,RLD,5317,222655,,,FD,344986,SC
Bindki,239,4,SHAHEEN HASAN,S,RLD,1561,183971,,,FD,297107,GEN
Tulsipur,291,5,VINEETA YADAV,S,RLD,1685,197479,,,FD,367401,GEN
Muzaffar Nagar,14,3,PAYAL MAHESHWARI,S,RLD,5640,215602,,,FD,334307,GEN
Bansi,304,1,KIRAN,S,RLD,2304,184514,,,FD,363370,GEN
Najibabad,17,4,LEENA SINGHAL,S,RLD,3587,215936,,,FD,329545,GEN
Hastinapur ,45,1,KUSUM,S,RLD,6538,221371,,,FD,326695,SC
Bara ,264,6,SULOCHANA ADIVASI,S,RLD,1107,189974,,,FD,320578,SC
Meerapur,16,3,MITHLESHPAL,S,RLD,22751,204405,,,FD,294149,GEN
Purqazi ,13,3,CHOTI,S,RLD,8227,204319,,,FD,313951,SC
Sareni,182,5,RATNA PANDEY,S,RLD,1139,204852,,,FD,351718,GEN
Koraon ,265,2,MAYAWATI,S,RLD,983,196227,,,FD,329314,SC
Khatauli,15,10,MAYA,U,ABVCP,131,213096,,,FD,298719,GEN
Meerapur,16,5,IMRANA,U,ABVCP,462,204405,,,FD,294149,GEN
Muzaffar Nagar,14,16,SANGITA,Z,IND,1008,215602,,,FD,334307,GEN
Rampur Maniharan ,6,11,REKHA,Z,IND,579,218831,,,FD,297981,SC
Maharajpur,217,9,ANITA DEVI,Z,IND,526,236731,,,FD,409025,GEN
Sandi ,158,13,MEENA DEVI,Z,IND,1111,185712,,,FD,317359,SC
Saharanpur Nagar,3,6,TALAT KHAN,U,AIMIM,693,272509,,,FD,393527,GEN
Pharenda,315,9,REENA,U,AIMIM,1878,198945,,,FD,333563,GEN
Nagina ,18,6,NEELAM,U,AIMIM,4385,209903,,,FD,328570,SC
Sahaswan,113,5,UMLESH YADAV,U,RPD,57522,240800,,,L,398626,GEN
Nautanwa,316,8,KAMINI JAISWAL,U,AIMIM,1797,214927,,,FD,349462,GEN
Sikandra Rao,80,5,CHANDA GUPTA,U,AIFB,314,216244,,,FD,350268,GEN
Sarojini Nagar,170,4,SWATI SINGH,N,BJP,108506,290847,,,W,498557,GEN
Agra Rural ,90,4,HEMLATA DIWAKAR,N,BJP,129887,249926,,,W,392451,SC
Khaga,243,2,KRISHNA PASWAN,N,BJP,94954,184571,,,W,323590,GEN
Harchandpur,179,1,KANCHAN LODHI,N,BJP,61452,185489,,,L,303804,GEN
Rath ,229,3,MANISHA ANURAGI,N,BJP,147526,242011,,,W,383215,SC
Meja,259,1,NEELAM KARWARIYA,N,BJP,67807,181184,,,W,310761,GEN
Ghatampur ,218,1,KAMAL RANI,N,BJP,92776,191219,,,W,308922,SC
Akbarpur - Raniya,206,2,PRATIBHA SHUKLA,N,BJP,87430,203207,,,W,308102,GEN
175-LUCKNOW CANTT.,175,3,DR. REETA JOSHI,N,BJP,95402,187433,,,W,368291,GEN
Mahmoodabad,151,1,ASHA MAURYA,N,BJP,79563,210660,,,L,290917,GEN
Karhal,110,3,RAMA SHAKYA,N,BJP,65816,210268,,,L,355384,GEN
Chhibramau,196,1,ARCHANA PANDEY,N,BJP,112209,268754,,,W,422129,GEN
Rasulabad ,205,2,NIRMALA SANKHWAR,N,BJP,88390,189385,,,W,311318,SC
Etawah,200,4,SARITA BHADAURIYA,N,BJP,91234,220994,,,W,381676,GEN
Bharthana ,201,4,SAVITRI KATHERIA,N,BJP,82005,230140,,,W,390069,SC
Malihabad,168,2,JAI DEVI,N,BJP,94677,227724,,,W,340473,SC
Mungra Badshahpur,368,3,SEEMA DWIVEDI,N,BJP,63637,204332,,,L,354014,GEN
Mughalsarai,380,3,SADHANA SINGH,N,BJP,87401,232617,,,W,376517,GEN
Mohammadabad,378,1,ALKA RAI,N,BJP,122156,230144,,,W,394646,GEN
Machhlishahr S.C.,369,1,ANITA RAWAT,N,BJP,68189,208344,,,L,365135,GEN
Majhawan,397,3,SHUCHISMITA MAURYA,N,BJP,107839,240169,,,W,376678,GEN
Kalyanpur,211,2,NILIMA KATIYAR,N,BJP,86620,177912,,,W,334227,GEN
Suar,34,4,LAXMI SAINI,N,BJP,53347,205962,,,L,295935,GEN
Bikapur,274,4,SHOBHA SINGH CHAUHAN,N,BJP,94074,222916,,,W,361297,GEN
Milak ,38,2,RAJBALA,N,BJP,89861,216334,,,W,338740,SC
Ghazipur,375,3,SANGEETA,N,BJP,92090,213558,,,W,338747,GEN
Zamania,379,3,SUNITA,N,BJP,76823,217230,,,W,395070,GEN
Shahabad,155,2,RAJANI TIWARI,N,BJP,99624,219939,,,W,343834,GEN
Amethi,186,2,GARIMA SINGH,N,BJP,64226,187717,,,W,334542,GEN
Debai,68,1,DR. ANITA LODHI RAJPUT,N,BJP,111807,209809,,,W,333372,GEN
Nagina ,18,1,OMWATI DEVI,N,BJP,69178,209903,,,L,328570,SC
Modi Nagar,57,1,DR. MANJU SHIWACH,N,BJP,108631,215867,,,W,333352,GEN
Alapur ,279,1,ANEETA,N,BJP,72366,197802,,,W,323494,SC
Chauri-Chaura,326,5,SANGEETA YADAV,N,BJP,87863,193724,,,W,339828,GEN
Chandausi ,31,1,GULAB DEVI,N,BJP,104806,224074,,,W,363443,SC
SRI NAGAR,140,4,MANJU TYAGI,N,BJP,112941,222865,,,W,307957,SC
Bah,94,2,RANI PAKSHALIKA SINGH,N,BJP,80567,192786,,,W,321282,GEN
Bahraich,286,2,ANUPMA JAISWAL,N,BJP,87479,213375,,,W,357049,GEN
Tanda,278,4,SANJU DEVI,N,BJP,74768,205700,,,W,305077,GEN
Nanpara,283,4,MADHURI VERMA,N,BJP,86312,193040,,,W,331643,GEN
Sikandrabad,64,2,BIMLA SINGH SOLANKI,N,BJP,104956,251950,,,W,375269,GEN
Rae Bareli,180,2,ANITA SRIVASTAVA,N,BJP,28821,207329,,,FD,351313,GEN
Kairana,8,4,MRIGANKA SINGH,N,BJP,77668,209134,,,L,300654,GEN
Bijnor,22,4,SUCHI,N,BJP,105548,245771,,,W,363168,GEN
Chandpur,23,3,KAMLESH SAINI,N,BJP,92345,218484,,,W,312795,GEN
Sadabad,79,3,PRITEE CHAUDHARY,N,BJP,36134,226634,,,FD,345367,GEN
Bithoor,210,6,PUSHPA,U,JHJBP,520,230544,,,FD,354074,SC
Fazilnagar,332,14,SAHARUN NISA,Z,IND,893,214409,,,FD,382913,GEN
KHALILABAD,313,22,SUNITA YADAV,Z,IND,1296,224008,,,FD,427309,GEN
Rudauli,271,10,SALIMAN,U,HAPA,429,210239,,,FD,336228,GEN
Moradabad Rural,27,12,KUSUM,Z,IND,347,221367,,,FD,356431,GEN
Didarganj,350,12,ARCHANA,Z,IND,6828,187419,,,FD,341578,GEN
Bansgaon,327,7,SAVITRI,U,HAPA,637,178818,,,FD,370767,SC
Kushinagar,333,9,RADHIKA DEVI,Z,IND,1011,203549,,,FD,354919,GEN
Atrauli,73,9,PREM SHRI YADAV,U,RPD,644,232591,,,FD,382518,GEN
Barhapur,19,19,MONIKA AHLAWAT,Z,IND,748,222149,,,FD,338084,GEN
Varanasi South,389,9,RITIKA RANI,U,RKSP,319,178837,,,FD,281274,GEN
Shohratgarh,302,14,VRIJ VASINI GIRI,Z,IND,1381,186719,,,FD,342601,GEN
Shahganj,365,10,SONU KHAN,U,AIJCP,576,214243,,,FD,351489,GEN
Mohanlalganj ,176,9,MALTI DEVI RAWAT,Z,IND,1132,222570,,,FD,341161,SC
Bairia,363,11,ASHANI SINGH,Z,IND,6122,162100,,,FD,342424,GEN
Sambhal,33,9,SANTOSH KUMARI,Z,IND,842,241294,,,FD,353099,GEN
Chail,253,18,SHIKHA SAROJ,Z,IND,6260,203355,,,FD,365336,GEN
Rohaniya,387,10,KRISHNA PATEL,Z,IND,9549,233782,,,FD,379237,GEN
Sitapur,146,6,KONIKA,U,UPRP,252,234198,,,FD,378818,GEN
Chharra,74,7,RADHA,U,SARP,162,229000,,,FD,360399,GEN
Moradabad Nagar,28,9,VIJETA GUPTA,U,RMEP,145,276805,,,FD,470754,GEN
Mariyahu,370,21,SEEMA SINGH,Z,IND,21440,180043,,,FD,308114,GEN
Kursi,266,13,ANITA SINGH,Z,IND,886,262731,,,FD,374651,GEN
Agra Cantt. ,87,7,BABITA SINGH MAURYA,U,RSMD,124,252816,,,FD,427507,SC
Agra South,88,25,SAROJ KUMARI,Z,IND,196,217225,,,FD,348892,GEN
Patti,249,9,RAM LALE,U,RBCP,549,207923,,,FD,339193,GEN
Shikarpur,69,8,VIJAY DEVI,U,RAJADP,247,202785,,,FD,310879,GEN
BALHA (S.C.),282,4,KAMLAVATI DEVI,U,RPI(A),1053,202367,,,FD,349477,SC
Amethi,186,14,KESH KUMARI,Z,IND,1245,187717,,,FD,334542,GEN
SRI NAGAR,140,6,NEELAM DEVI CHAUDHARY,U,RBCP,1300,222865,,,FD,307957,SC
Rampur Karkhana,339,10,SAROJ PANDEY,U,RPI(A),816,192377,,,FD,328326,GEN
Gorakhpur Rural,323,11,MALTI DEVI,Z,IND,936,235963,,,FD,394330,GEN
Machhlishahr S.C.,369,14,LAKSHMI SAROJ,Z,IND,1237,208344,,,FD,365135,GEN
Marihan,399,6,NEERMALA,U,BRPI,599,238300,,,FD,344909,GEN
Robertsganj,401,19,SAMRIDDHI KUSHAWAHA,Z,IND,1185,203438,,,FD,325031,GEN
Thana Bhawan,9,7,MANJU,Z,IND,210,212691,,,FD,311359,GEN
Bachhrawan ,177,10,CHANDRA KALI,Z,IND,724,198147,,,FD,312692,SC
Rampur Maniharan ,6,6,ANJU BALA,U,BHATARSP,391,218831,,,FD,297981,SC
Varanasi South,389,8,PRIYA AGRAWAL,U,MAJP,106,178837,,,FD,281274,GEN
Kursi,266,7,NEELAM SAINI,U,ADRSP,318,262731,,,FD,374651,GEN
Allahabad North,262,14,ANSHU TRIPATHI,Z,IND,197,173242,,,FD,413412,GEN
Phephana,360,8,AMRITA DEVI,Z,IND,402,178647,,,FD,314893,GEN
Tundla ,95,6,SAPANA VERMA,U,ADRSP,224,243591,,,FD,349686,SC
Rudrapur,336,5,KUMARI KUNJAWATI,U,BSNPTY,433,164353,,,FD,293170,GEN
Gorakhpur Urban,322,8,NANDA SINGH,U,SATKP,385,218831,,,FD,429167,GEN
Hata,334,8,MAMATA SINGH,U,SATKP,465,208257,,,FD,352906,GEN
Mehnagar ,352,5,MANJOO SAROJ,U,SBSP,63625,202135,,,L,386934,SC
Rampur Maniharan ,6,8,KM.LATA,U,IVD,244,218831,,,FD,297981,SC
Farrukhabad,194,16,VEENA KUREEL,Z,IND,932,207982,,,FD,355323,GEN
Maholi,145,9,DR. VIJAY SHREE,U,RPI(A),621,241699,,,FD,351886,GEN
Rampur Khas,244,12,VANDNA GUPTA,U,MWSP,1293,170655,,,FD,315773,GEN
Bachhrawan ,177,6,MANJU DEVI,U,MWSP,578,198147,,,FD,312692,SC
Sareni,182,10,SHASHI LATA,U,MWSP,835,204852,,,FD,351718,GEN
Kheragarh,92,9,JAL DEVI,Z,IND,331,198781,,,FD,309763,GEN
Sikandra,207,10,SEEMA YADAV,U,NSPI,451,193753,,,FD,321231,GEN
