State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Uttar_Pradesh,,1,2024,6,,,1,IMRAN MASOOD,,INC,547967,,1275045,1857816,Saharanpur,,,12,68.63,44.57,,64542,5.06,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,2,RAGHAV LAKHANPAL,,BJP,483425,,1275045,1857816,Saharanpur,,,12,68.63,39.32,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,3,MAJID ALI,,BSP,180353,,1275045,1857816,Saharanpur,,,12,68.63,14.67,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,4,MOHD INAM,,AKHIL_BHARTIYA_PARIV,5400,,1275045,1857816,Saharanpur,,,12,68.63,0.44,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,5,SHABNAM,,IND,2373,,1275045,1857816,Saharanpur,,,12,68.63,0.19,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,6,SHAHBAJ,,IND,1698,,1275045,1857816,Saharanpur,,,12,68.63,0.14,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,7,RASHID KHAN,,IND,1230,,1275045,1857816,Saharanpur,,,12,68.63,0.1,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,8,TASMEEM BANO,,IND,885,,1275045,1857816,Saharanpur,,,12,68.63,0.07,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,9,RAJKUMAR,,IND,813,,1275045,1857816,Saharanpur,,,12,68.63,0.07,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,10,KAMRAN,,IND,745,,1275045,1857816,Saharanpur,,,12,68.63,0.06,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,11,NOTA,,NONE_OF_THE_ABOVE,4566,,1275045,1857816,Saharanpur,,,12,68.63,0.37,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,1,2024,6,,,12,NOTA,,NOTA,45590,,1275045,1857816,Saharanpur,,,12,68.63,3.58,,,,,,,,,,,,,,,,,,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,1,IQRA CHOUDHARY,,SP,528013,,1124788,1727579,Kairana,,,16,65.11,48.9,,69116,6.14,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,2,PRADEEP KUMAR,,BJP,458897,,1124788,1727579,Kairana,,,16,65.11,42.5,,,,,,,,,,,,,,,,,TRUE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,3,SRIPAL,,BSP,76200,,1124788,1727579,Kairana,,,16,65.11,7.06,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,4,JAHID,,SOCIAL_DEMOCRATIC_PA,3320,,1124788,1727579,Kairana,,,16,65.11,0.31,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,5,SHOKINDER KUMAR,,IND,1985,,1124788,1727579,Kairana,,,16,65.11,0.18,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,6,MANOJ RANA,,IND,1936,,1124788,1727579,Kairana,,,16,65.11,0.18,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,7,VIKAS KUMAR,,IND,1100,,1124788,1727579,Kairana,,,16,65.11,0.1,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,8,OMBEER,,AZAD_ADHIKAR_SENA,1096,,1124788,1727579,Kairana,,,16,65.11,0.1,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,9,VIKRAM SINGH,,IND,900,,1124788,1727579,Kairana,,,16,65.11,0.08,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,10,PRITI KASHYAP,,RASHTRIYA_MAZDOOR_EK,791,,1124788,1727579,Kairana,,,16,65.11,0.07,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,11,VIKRAM SAINI,,AKHAND_BHARAT_SWATAN,780,,1124788,1727579,Kairana,,,16,65.11,0.07,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,12,YOGESH,,IND,670,,1124788,1727579,Kairana,,,16,65.11,0.06,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,13,MOHD KADIR,,IND,442,,1124788,1727579,Kairana,,,16,65.11,0.04,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,14,NAND KISHOOR,,AAPKI_APNI_PARTY_(PE,427,,1124788,1727579,Kairana,,,16,65.11,0.04,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,15,NOTA,,NONE_OF_THE_ABOVE,3249,,1124788,1727579,Kairana,,,16,65.11,0.3,,,,,,,,,,,,,,,,,FALSE,,,,,,,Lok Sabha Election (GE)
Uttar_Pradesh,,2,2024,6,,,16,NOTA,,NOTA,44982,,1124788,1727579,Kairana,,,16,65.11,4,,,,,,,,,,,,,,,,,,,,,,,,Lok Sabha Election (GE)
