pc_code,constituency,candidate,party,evm_votes,postal_votes,total_votes
59,"Gonda","PEER ALI KHAN","Kisan Mazdoor Sangharsh Party",1936,0,1936
59,"Gonda","MUBARAK ALI","All India Forward Bloc",2830,0,2830
59,"Gonda","RADHEY SHYAM ALIAS PAPPU RAJBHAR","Suheldev Bharatiya Samaj Party",3854,2,3856
59,"Gonda","HAFIZ ALI","Peace Party",2103,1,2104
59,"Gonda","MO. ARBI","Independent",2568,0,2568
59,"Gonda","NARENDRA SINGH","Independent",3265,0,3265
59,"Gonda","MAHESH SINGH","Independent",5475,0,5475
59,"Gonda","VINOD KUMAR SINGH","Independent",2641,2,2643
59,"Gonda","NOTA","None of the Above",8401,17,8418
60,"Domariyaganj","AFTAB ALAM","Bahujan Samaj Party",386901,31,386932
60,"Domariyaganj","CHANDRASH ALIAS CHANDRESH KUMAR UPADHYAY","Indian National Congress",60538,11,60549
60,"Domariyaganj","JAGDAMBIKA PAL","Bharatiya Janata Party",492145,108,492253
60,"Domariyaganj","ARJUN SINGH LODHI","Bahujan Mukti Party",8265,0,8265
60,"Domariyaganj","KESHARI NANDAN","Sabka Dal United",3066,0,3066
60,"Domariyaganj","KESHAV RAJBHAR","Suheldev Bharatiya Samaj Party",3809,0,3809
60,"Domariyaganj","BRIJESH KUMAR","Janhit Kisan Party",4097,0,4097
60,"Domariyaganj","MOHAMMAD IRFAN","Peace Party",5765,0,5765
60,"Domariyaganj","SANJAY KUMAR CHAUHAN","Nagrik Ekta Party",5029,1,5030
60,"Domariyaganj","SHARWAN KUMAR","Independent",3746,0,3746
60,"Domariyaganj","NOTA","None of the Above",11754,3,11757
61,"Basti","RAJ KISHOR SINGH","Indian National Congress",86453,467,86920
61,"Basti","RAM PRASAD CHAUDHARY","Bahujan Samaj Party",437641,3167,440808
61,"Basti","HARISH CHANDRA ALIAS HARISH DWIVEDI","Bharatiya Janata Party",469214,1948,471162
61,"Basti","PANKAJ DUBEY","Lok Gathbandhan Party",7340,5,7345
61,"Basti","RAM PRASAD CHAURASIYA","Janhit Kisan Party",3734,3,3737
61,"Basti","ROHIT KUMAR PATHAK","Hindusthan Nirman Dal",3179,3,3182
61,"Basti","VINOD KUMAR RAJBHAR","Suheldev Bharatiya Samaj Party",11960,11,11971
61,"Basti","CHANDRA MANI PANDEY","Independent",3161,9,3170
61,"Basti","BHAGWANDAS","Independent",5589,1,5590
61,"Basti","RANGI LAL YADAV","Independent",7638,1,7639
61,"Basti","NOTA","None of the Above",10298,37,10335
62,"Sant Kabir Nagar","PRAVEEN KUMAR NISHAD","Bharatiya Janata Party",466167,1376,467543
62,"Sant Kabir Nagar","BHAL CHANDRA YADAV","Indian National Congress",128242,264,128506
62,"Sant Kabir Nagar","BHEESHMA SHANKAR","Bahujan Samaj Party",430899,895,431794
62,"Sant Kabir Nagar","AKHILESH KUMAR","Moulik Adhikar Party",8013,12,8025
62,"Sant Kabir Nagar","ANAND KUMAR GAUTAM","Bahujan Mukti Party",3984,3,3987
62,"Sant Kabir Nagar","RAJENDRA YADAV","Independent",6915,17,6932
62,"Sant Kabir Nagar","LOTAN","Independent",3972,0,3972
62,"Sant Kabir Nagar","NOTA","None of the Above",12614,17,12631
63,"Maharajganj","AKHILESH","Samajwadi Party",385592,333,385925
63,"Maharajganj","PANKAJ CHOUDHARY","Bharatiya Janata Party",725557,792,726349
63,"Maharajganj","SUPRIYA SHRINATE","Indian National Congress",72449,67,72516
63,"Maharajganj","PAPPU CHAUHAN","Satya Kranti Party",2856,1,2857
63,"Maharajganj","MANISH","Bahujan Mukti Party",1530,4,1534
63,"Maharajganj","MANOJ KUMAR RANA","Bhartiya Kisan Union Samaj Party",1777,9,1786
63,"Maharajganj","SHIV CHARAN","Jai Hind Samaj Party",1431,0,1431
63,"Maharajganj","SUMIT","Janhit Kisan Party",5183,0,5183
63,"Maharajganj","ANEEL KUMAR","Independent",2040,2,2042
63,"Maharajganj","AMARJEET","Independent",2254,0,2254
63,"Maharajganj","PANNELAL","Independent",3871,1,3872
63,"Maharajganj","PRAMOD KUMAR","Independent",2236,0,2236
63,"Maharajganj","MOHANKUMAR","Independent",3066,0,3066
63,"Maharajganj","LALDHARI YADAV","Independent",5386,1,5387
63,"Maharajganj","NOTA","None of the Above",10458,20,10478
64,"Gorakhpur","Dr. Ashish Kumar Singh","Communist Party of India",8157,15,8172
64,"Gorakhpur","Madhusudan Tripathi","Indian National Congress",22855,117,22972
64,"Gorakhpur","Ravindra Shyamnarayan Shukla alias Ravi Kishan","Bharatiya Janata Party",715010,2112,717122
64,"Gorakhpur","Rambhual Nishad","Samajwadi Party",414340,1118,415458
64,"Gorakhpur","Abhishek Chand","Suheldev Bharatiya Samaj Party",4317,2,4319
64,"Gorakhpur","Awadhesh Kumar Singh","Shane Hind Fourm",1305,1,1306
64,"Gorakhpur","Jitendra Kumar","Jwala Dal",1572,0,1572
64,"Gorakhpur","Shyamnarayan Yadav","Pragatishil Samajwadi Party (Lohia)",2702,6,2708
64,"Gorakhpur","Subhash Chandra Dubey","Socialist Party (India)",1982,0,1982
64,"Gorakhpur","NOTA","None of the Above",7647,41,7688
65,"Kushi Nagar","N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA","Samajwadi Party",257776,1703,259479
65,"Kushi Nagar","KUNWER RATANJIT PRATAP NARAYAN SINGH","Indian National Congress",145495,656,146151
65,"Kushi Nagar","VIJAY KUMAR DUBEY","Bharatiya Janata Party",595508,1531,597039
65,"Kushi Nagar","AMIRUDDIN","Apna Dal United Party",8540,1,8541
65,"Kushi Nagar","ARVIND YADAV","Communist Party of India (Marxist-Leninist) Red Star",1405,1,1406
65,"Kushi Nagar","UMESH SINGH","Bhartiya Shakti Chetna Party",1602,3,1605
65,"Kushi Nagar","USMAN","Peace Party",2714,1,2715
65,"Kushi Nagar","P.C. KUREEL","Indian National League",3072,0,3072
65,"Kushi Nagar","DR GANESH","Akhil Bhartiya Gondwana Party",1822,9,1831
65,"Kushi Nagar","RAJIV","Suheldev Bharatiya Samaj Party",8449,5,8454
65,"Kushi Nagar","RAM PRATAP","Purvanchal Mahapanchayat",2366,3,2369
65,"Kushi Nagar","LALITA","Akhil Bhartiya Navnirman Party",2755,4,2759
65,"Kushi Nagar","GUDDI KINNAR","Independent",5881,0,5881
65,"Kushi Nagar","SHIV KUMAR","Independent",3518,0,3518
65,"Kushi Nagar","NOTA","None of the Above",8276,21,8297
66,"Deoria","NIYAZ AHMED","Indian National Congress",50749,307,51056
66,"Deoria","BINOD KUMAR JAISWAL","Bahujan Samaj Party",327728,2985,330713
66,"Deoria","RAMAPATI RAM TRIPATHI","Bharatiya Janata Party",577617,3027,580644
66,"Deoria","ISRAR AHAMAD","Bharatiya Aavaam Ekta Party",8158,6,8164
66,"Deoria","ONKAR SINGH","Samajwadi Samaj Party",2386,31,2417
66,"Deoria","CHANDAN KUMAR YADAV","Rashtriya Ulama Council",3299,6,3305
66,"Deoria","JITENDRA","Suheldev Bharatiya Samaj Party",4867,1,4868
66,"Deoria","BIRJA","Peace Party",3209,0,3209
66,"Deoria","MANOJ KUMAR MISHRA","Manuvadi Party",3957,5,3962
66,"Deoria","BRIJENDRA MANI TRIPATHI","Independent",5702,0,5702
66,"Deoria","RAMASHISH RAI","Independent",7866,36,7902
66,"Deoria","NOTA","None of the Above",13358,63,13421
67,"Bansgaon","Kamlesh Paswan","Bharatiya Janata Party",544434,2239,546673
67,"Bansgaon","Sadal Prasad","Bahujan Samaj Party",391441,1764,393205
67,"Bansgaon","Surendra Prasad","Pragatishil Samajwadi Party (Lohia)",8685,32,8717
67,"Bansgaon","Lalchand Prasad","Independent",6444,4,6448
67,"Bansgaon","NOTA","None of the Above",14060,33,14093
68,"Lalganj","Trilokinath","Communist Party of India",8838,5,8843
68,"Lalganj","Neelam Sonker","Bharatiya Janata Party",356328,895,357223
68,"Lalganj","Pankaj Mohan Sonkar","Indian National Congress",17603,27,17630
68,"Lalganj","Sangeeta Azad","Bahujan Samaj Party",517545,1275,518820
68,"Lalganj","Engineer Ajeet Sonkar","Aam Aadmi Party",4517,3,4520
68,"Lalganj","Chandrashekhar","Bharat Prabhat Party",1608,0,1608
68,"Lalganj","Dr. Deelip Kumar Saroj","Suheldev Bharatiya Samaj Party",17924,3,17927
68,"Lalganj","Pintoo","Kanshiram Bahujan Dal",1642,0,1642
68,"Lalganj","Radheshyam Gautam","Rashtriya Ulama Council",6091,2,6093
68,"Lalganj","Lcchiman Kannooizya","Prithviraj Janshakti Party",1880,0,1880
68,"Lalganj","Hemraj Paswan","Pragatishil Samajwadi Party (Lohia)",2310,10,2320
68,"Lalganj","Akhilesh","Independent",3225,7,3232
68,"Lalganj","Ramchandar","Independent",7325,0,7325
68,"Lalganj","Santosh Kumar","Independent",3163,0,3163
68,"Lalganj","Subash Saroj","Independent",3282,0,3282
68,"Lalganj","NOTA","None of the Above",5041,19,5060
69,"Azamgarh","Akhilesh Yadav","Samajwadi Party",619594,1984,621578
69,"Azamgarh","Dinesh Lal Yadav Nirahua","Bharatiya Janata Party",360255,1449,361704
69,"Azamgarh","Anil Singh","Rashtriya Ulama Council",6761,2,6763
69,"Azamgarh","Abhimanyu Singh Sunny","Suheldev Bharatiya Samaj Party",10077,1,10078
69,"Azamgarh","Arvind Kumar Pandey","Nagrik Ekta Party",947,2,949
69,"Azamgarh","Ehsan Ahmed","Naitik Party",976,0,976
69,"Azamgarh","Pawan Singh Samrat","Aam Janta Party (India)",1106,0,1106
69,"Azamgarh","Pramod Tiwari","Janhit Kisan Party",3148,0,3148
69,"Azamgarh","Mohinder Kumar","Sarvshreshth Dal",2899,2,2901
69,"Azamgarh","Gorakhram Nishad","Independent",1247,3,1250
69,"Azamgarh","Gaurav Singh","Independent",1431,1,1432
69,"Azamgarh","Budhi Ram","Independent",2098,0,2098
69,"Azamgarh","Rajaram Gond","Independent",1930,1,1931
69,"Azamgarh","Rajiv Talwar","Independent",2203,1,2204
69,"Azamgarh","Dr. Rajeev Pandey","Independent",3737,2,3739
69,"Azamgarh","NOTA","None of the Above",7239,16,7255
70,"Ghosi","ATUL KUMAR SINGH","Communist Party of India",14622,22,14644
70,"Ghosi","ATUL KUMAR SINGH","Bahujan Samaj Party",572459,1370,573829
70,"Ghosi","BALKRISHNA","Indian National Congress",23695,117,23812
70,"Ghosi","HARINARAYAN","Bharatiya Janata Party",449212,2049,451261
70,"Ghosi","ABUSHAD","Akhand Samaj Party",4908,6,4914
70,"Ghosi","KISHAN LAL","Rashtriya Krantikari Samajwadi Party",3508,27,3535
70,"Ghosi","GEETA","Ambedkar Samaj Party",1361,6,1367
70,"Ghosi","PARAS","Rashtriya Jantantrik Bharat Vikas Party",1599,1,1600
70,"Ghosi","MAHENDRA","Suheldev Bharatiya Samaj Party",39842,18,39860
70,"Ghosi","SHEFKAT TAKI","Peace Party",3960,0,3960
70,"Ghosi","PRAVEEN KUMAR SINGH","Independent",1230,0,1230
70,"Ghosi","RAJESH","Independent",3653,8,3661
70,"Ghosi","SURYA KUMAR","Independent",2156,3,2159
70,"Ghosi","SURJEET KUMAR","Independent",2884,2,2886
70,"Ghosi","SANTOSH","Independent",6737,2,6739
70,"Ghosi","NOTA","None of the Above",5291,33,5324
71,"Salempur","R S KUSHWAHA","Bahujan Samaj Party",351820,2944,354764
71,"Salempur","RAVINDER","Bharatiya Janata Party",463930,3311,467241
71,"Salempur","RAJESH KUMAR MISHRA","Indian National Congress",26970,318,27288
71,"Salempur","AJIMULLAH","Peace Party",2194,10,2204
71,"Salempur","KAILASH CHAUHAN","Janta Kranti Party (Rashtravadi)",2403,10,2413
71,"Salempur","KRIPA SHANKAR PRASAD","Bharatiya Samta Samaj Party",1290,9,1299
71,"Salempur","PUJA PANDEY","Pragatishil Samajwadi Party (Lohia)",1719,33,1752
71,"Salempur","RAJARAM","Suheldev Bharatiya Samaj Party",33504,16,33520
71,"Salempur","RAMJI PRATAP JIGYASU","Hindusthan Nirman Dal",1592,2,1594
71,"Salempur","MOHD SAROOR ALI","Janata Congress",1562,1,1563
71,"Salempur","SUMESHWAR NATH TIWARI","RASHTRIYA VIKLANG PARTY",3835,1,3836
71,"Salempur","CHHOTELAL","Independent",2283,0,2283
71,"Salempur","VIDYA SHANKER PANDEY","Independent",2427,3,2430
71,"Salempur","VISHRAM","Independent",4812,1,4813
71,"Salempur","SUNIL KUMAR PANDEY","Independent",6266,1,6267
71,"Salempur","NOTA","None of the Above",7752,47,7799
72,"Ballia","Virendra Singh","Bharatiya Janata Party",464039,5075,469114
72,"Ballia","Sanatan Pandey","Samajwadi Party",450408,3187,453595
72,"Ballia","ARVIND","Bhartiya Jan Nayak Party",3895,130,4025
72,"Ballia","Uday Prakash","Janta Raj Party",1352,7,1359
72,"Ballia","GOPAL RAM KHARWAR","Gondvana Gantantra Party",3950,52,4002
72,"Ballia","Janmejay Kumar Prajapati","Bharatiya Samta Samaj Party",2442,12,2454
72,"Ballia","Vinod","Suheldev Bharatiya Samaj Party",35874,26,35900
72,"Ballia","Seema Chauhan","Janta Kranti Party (Rashtravadi)",2409,44,2453
72,"Ballia","OM PRAKASH PANDEY","Independent",1768,7,1775
72,"Ballia","Major Ramesh Chandra Upadhyay","Independent",5435,5,5440
72,"Ballia","NOTA","None of the Above",9540,75,9615
73,"Jaunpur","KRISHNA PRATAP SINGH K.P.","Bharatiya Janata Party",439292,900,440192
73,"Jaunpur","DEO VRAT MISHRA","Indian National Congress",27107,78,27185
73,"Jaunpur","SHYAM SINGH YADAV","Bahujan Samaj Party",520046,1082,521128
73,"Jaunpur","AJAY KUMAR SHARMA","Moulik Adhikar Party",6390,2,6392
73,"Jaunpur","ANIL","Hum Sabki Party",1432,0,1432
73,"Jaunpur","COM. ASHOK KUMAR KHARWAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1593,0,1593
73,"Jaunpur","BRIJESH KUMAR","Suheldev Bharatiya Samaj Party",5465,1,5466
73,"Jaunpur","NAVIN","Voters Party  International",945,1,946
73,"Jaunpur","MOTIUDDIN","Rashtriya Ulama Council",2960,0,2960
73,"Jaunpur","RAJESH KUMAR","Rashtriya Samaj Paksha",2195,2,2197
73,"Jaunpur","RUKMNI DEVI","Pragatisheel Manav Samaj Party",2162,1,2163
73,"Jaunpur","VINOD KUMAR","Andaman & Nicobar Janta Party",2017,0,2017
73,"Jaunpur","VISHOK KUMAR VISHWAKARMA","Nationalist Janshakti Party",2446,1,2447
73,"Jaunpur","SHESHMANI MAURYA","Hindusthan Nirman Dal",3838,2,3840
73,"Jaunpur","SHYAMLAL","Bharat Prabhat Party",1730,1,1731
73,"Jaunpur","SUNIL KUMAR","Rashtriya Jan Gaurav Party",5768,0,5768
73,"Jaunpur","SANGEETA DEVI","Pragatishil Samajwadi Party (Lohia)",3747,5,3752
73,"Jaunpur","ASHOK KUMAR","Independent",1187,0,1187
73,"Jaunpur","PRADEEP KUMAR PANDEY","Independent",4924,0,4924
73,"Jaunpur","MADHAVENDRA PUSHKAR SINGH","Independent",890,1,891
73,"Jaunpur","NOTA","None of the Above",2426,15,2441
74,"Machhlishahr","Tribhuvan Ram (T.Ram)","Bahujan Samaj Party",486763,1453,488216
74,"Machhlishahr","Bholanath (B.P. Saroj)","Bharatiya Janata Party",487093,1304,488397
74,"Machhlishahr","Dr. Amarnath Paswan","Jan Adhikar Party",7617,5,7622
74,"Machhlishahr","Garib","Mahamukti Dal",2476,1,2477
74,"Machhlishahr","Chanchal Kumar","Rashtriya Samaj Paksha",2615,5,2620
74,"Machhlishahr","Jitendra","Bhartiya Manav Samaj Party",1422,3,1425
74,"Machhlishahr","Dasharath","Prithviraj Janshakti Party",1310,0,1310
74,"Machhlishahr","Deep Chand Ram Urf B.D.O Sahab","Kanshiram Bahujan Dal",2806,8,2814
74,"Machhlishahr","Nandlal","Bharat Prabhat Party",1491,0,1491
74,"Machhlishahr","Brijesh Kumar","Republican Party of India",1999,0,1999
74,"Machhlishahr","Rajkeshar","Sajag Samaj Party",2038,3,2041
74,"Machhlishahr","Raj Nath","Suheldev Bharatiya Samaj Party",11212,11,11223
74,"Machhlishahr","Ram Naresh","Moulik Adhikar Party",4272,1,4273
74,"Machhlishahr","Gangaram","Independent",3167,1,3168
74,"Machhlishahr",""Deepak Kumar ""Nanhe"""","Independent",5018,1,5019
74,"Machhlishahr","NOTA","None of the Above",10812,18,10830
75,"Ghazipur","AJIT PRATAP KUSHAWAHA","Indian National Congress",19656,178,19834
75,"Ghazipur","AFZAL ANSARI","Bahujan Samaj Party",564144,1938,566082
75,"Ghazipur","BHANU PRAKASH PANDEY","Communist Party of India",7833,11,7844
75,"Ghazipur","MANOJ SINHA","Bharatiya Janata Party",443188,3502,446690
75,"Ghazipur","ISHWARI PRASAD KUSHWAHA","Communist Party of India  (Marxist-Leninist)  (Liberation)",4935,11,4946
75,"Ghazipur","BRIJENDRA KUMAR VERMA","Kisan Mazdoor Sangharsh Party",1015,4,1019
75,"Ghazipur","BHARAT","Janta Raj Party",949,0,949
75,"Ghazipur","RAJESH KUMAR YADAV","Pragatisheel Manav Samaj Party",1813,9,1822
75,"Ghazipur","Dr. RAJESH KUMAR SINGH","Bhartiya Jan Nayak Party",1226,6,1232
75,"Ghazipur","RAMJI","Suheldev Bharatiya Samaj Party",33868,9,33877
75,"Ghazipur","RAMPRAVESH SHARMA ALIAS RINKOO","Moulik Adhikar Party",3388,4,3392
75,"Ghazipur","VED PRAKASH","Nationalist Janshakti Party",2396,4,2400
75,"Ghazipur","SANTOSH KUMAR YADAV","Pragatishil Samajwadi Party (Lohia)",2429,19,2448
75,"Ghazipur","HRIDAYA NARAYAN SINGH","Independent",6219,2,6221
75,"Ghazipur","NOTA","None of the Above",6831,40,6871
76,"Chandauli","Dr. Mahendra Nath Pandey","Bharatiya Janata Party",508113,2620,510733
76,"Chandauli","Sanjay Singh Chauhan","Samajwadi Party",494689,2085,496774
76,"Chandauli","Arjun Pandey","Atulya Bharat Party",4086,10,4096
76,"Chandauli","Krishna Pratap Singh","Samagra Utthan Party",2741,3,2744
76,"Chandauli","Jangbahadur","Bhartiya Manav Samaj Party",1166,6,1172
76,"Chandauli","Byasmuni","Kanshiram Bahujan Dal",829,9,838
76,"Chandauli","Mahendra Pratap Singh","Al-Hind Party",1127,0,1127
76,"Chandauli","Mahender Yadav","Pragatisheel Manav Samaj Party",4218,7,4225
76,"Chandauli","Rajesh Vishwakarma","Moulik Adhikar Party",3077,4,3081
76,"Chandauli","Ramgovind","Suheldev Bharatiya Samaj Party",18971,14,18985
76,"Chandauli","Shivkanya Kushwaha","Jan Adhikar Party",22190,101,22291
76,"Chandauli","Shivratri","Prithviraj Janshakti Party",2260,1,2261
76,"Chandauli","Liyakat Ali","Independent",5411,5,5416
76,"Chandauli","NOTA","None of the Above",11182,36,11218
77,"Varanasi","AJAY RAI","Indian National Congress",152456,92,152548
77,"Varanasi","NARENDRA MODI","Bharatiya Janata Party",673453,1211,674664
77,"Varanasi","SHALINI YADAV","Samajwadi Party",194763,396,195159
77,"Varanasi","ANIL KUMAR CHAURASIYA","Janhit Kisan Party",2756,2,2758
77,"Varanasi","AMRESH MISHRA","Bharat Prabhat Party",555,0,555
77,"Varanasi","AASHIN U. S.","Indian Gandhiyan Party",503,1,504
77,"Varanasi","ASHUTOSH KUMAR PANDEY","Mera Adhikaar Rashtriya Dal",498,1,499
77,"Varanasi","UMESH CHANDRA KATIYAR","Al-Hind Party",637,0,637
77,"Varanasi","TIRBHUWAN SHARMA","Bharatiya Rashtravadi Samanta Party",1694,1,1695
77,"Varanasi","ADVOCATE PREM NATH SHARMA","Moulik Adhikar Party",1603,3,1606
77,"Varanasi","BRAJENDRA DUTT TRIPATHI","Adarshwaadi Congress Party",838,0,838
77,"Varanasi","Dr. RAKESH PRATAP","Bharatiya Jan Kranti Dal (Democratic)",907,0,907
77,"Varanasi","RAJESH BHARTI SURYA","Rashtriya Ambedkar Dal",1257,1,1258
77,"Varanasi","RAMSHARAN","Vikas Insaf Party",1236,1,1237
77,"Varanasi","Dr. SHEKH SIRAJ BABA","Rashtriya Matadata Party",1771,0,1771
77,"Varanasi","SURENDRA RAJBHAR","Suheldev Bharatiya Samaj Party",8890,2,8892
77,"Varanasi","HARI BHAI PATEL","Aam Janta Party (India)",1339,1,1340
77,"Varanasi","HEENA SHAHID","Janhit Bharat Party",1914,0,1914
77,"Varanasi","ATEEK AHMAD","Independent",854,1,855
77,"Varanasi","ISHWAR DAYAL SINGH SETH","Independent",657,0,657
77,"Varanasi","CHANDRIKA PRASAD","Independent",331,0,331
77,"Varanasi","MANISH SHRIVASTAVA","Independent",350,0,350
77,"Varanasi","MANOHAR ANANDRAO PATIL","Independent",2134,0,2134
77,"Varanasi","MAANAV","Independent",1434,1,1435
77,"Varanasi","SUNNAM ISTARI","Independent",798,0,798
77,"Varanasi","SUNIL KUMAR","Independent",1097,0,1097
77,"Varanasi","NOTA","None of the Above",4019,18,4037
78,"Bhadohi","Akhilesh","Nationalist Congress Party",4558,12,4570
78,"Bhadohi","RAMAKANT","Indian National Congress",25508,96,25604
78,"Bhadohi","RAMESH CHAND","Bharatiya Janata Party",508989,1040,510029
78,"Bhadohi","RANGNATH MISHRA","Bahujan Samaj Party",465412,1002,466414
78,"Bhadohi","Dr Rajesh Kumar Verma","Peoples Party of India (Democratic)",4647,1,4648
78,"Bhadohi","VINOD","Hindusthan Nirman Dal",1943,0,1943
78,"Bhadohi","KULDEEP","Independent",1644,2,1646
78,"Bhadohi","RAM SAKHA","Independent",1764,0,1764
78,"Bhadohi","Satish Bahadur","Independent",1819,0,1819
78,"Bhadohi","SUSHIL","Independent",4052,0,4052
78,"Bhadohi","SAIYYAD MOHAMMAD ARIF","Independent",5050,0,5050
78,"Bhadohi","SANTLAL","Independent",2764,0,2764
78,"Bhadohi","NOTA","None of the Above",9079,8,9087
79,"Mirzapur","Ramcharitra Nishad","Samajwadi Party",359208,348,359556
79,"Mirzapur","Lalitesh Pati Tripathi","Indian National Congress",91392,109,91501
79,"Mirzapur","Archana Mishra","Satya Bahumat Party",9165,41,9206
79,"Mirzapur","Anupriya Singh Patel","Apna Dal (Soneylal)",590867,697,591564
79,"Mirzapur","Adesh Tyagi","Bharat Prabhat Party",7866,55,7921
79,"Mirzapur","Ashish Kumar Tripathi","Pragatishil Samajwadi Party (Lohia)",4013,11,4024
79,"Mirzapur","Jeera Devi","Communist Party of India  (Marxist-Leninist)  (Liberation)",8545,8,8553
79,"Mirzapur","Dinesh Kumar Pal","Rashtriya Samaj Paksha",7135,10,7145
79,"Mirzapur","Radheshyam Inshan","Bhartiya Republican Party (Insan)",14136,6,14142
79,"Mirzapur","NOTA","None of the Above",15333,20,15353
80,"Robertsganj","ASHOK KUMAR KANAUJIYA","Communist Party of India",17445,21,17466
80,"Robertsganj","BHAGWATI PRASAD CHAUDHARI","Indian National Congress",35222,47,35269
80,"Robertsganj","BHAI LAL","Samajwadi Party",393304,274,393578
80,"Robertsganj","ANITA KOL","Janata Dal  (United)",6597,86,6683
80,"Robertsganj","ANUJ KUMAR KANAUJIA","Bhartiya Lokmat Rashtrwadi Party",18333,5,18338
80,"Robertsganj","KAILASH NATH","Suheldev Bharatiya Samaj Party",4813,4,4817
80,"Robertsganj","S R DARAPURI","All India Peoples' Front (Radical)",11029,3,11032
80,"Robertsganj","PAKAURI LAL KOL","Apna Dal (Soneylal)",447691,223,447914
80,"Robertsganj","RUBY PRASAD","Pragatishil Samajwadi Party (Lohia)",9120,10,9130
80,"Robertsganj","Sunil Kumar","Bharat Prabhat Party",5787,6,5793
80,"Robertsganj","PRABHUDAYAL","Independent",8357,1,8358
80,"Robertsganj","Vidya Prakash Kureel","Independent",8788,3,8791
80,"Robertsganj","NOTA","None of the Above",21103,15,21118
